api-1  | INFO:     Started server process [10]
api-1  | {"timestamp": "2026-04-03T20:14:30.878662+00:00", "level": "info", "service": "api", "logger": "app.api.middleware", "tenant_id": "2", "user_id": "1", "request_id": "cc681ee4", "trace_id": "d8e98a9e678617e7731c197c0c9a49e1", "span_id": "567d202b5bb68c7c", "action": "http.request.finished", "message": "HTTP request finished", "metadata": {"method": "PATCH", "path": "/api/v1/tasks/9/status", "status_code": 200, "duration_ms": 45.12}}
api-1  | {"timestamp": "2026-04-03T20:14:31.071297+00:00", "level": "info", "service": "api", "logger": "app.api.middleware", "tenant_id": "2", "user_id": "1", "request_id": "f687ed2a", "trace_id": "71ecff2d04178172fb4d458708e26dda", "span_id": "8339b09799882122", "action": "http.request.started", "message": "HTTP request started", "metadata": {"method": "GET", "path": "/api/v1/tasks/"}}
api-1  | {"timestamp": "2026-04-03T20:14:31.086587+00:00", "level": "info", "service": "api", "logger": "app.api.middleware", "tenant_id": "2", "user_id": "1", "request_id": "f687ed2a", "trace_id": "71ecff2d04178172fb4d458708e26dda", "span_id": "8339b09799882122", "action": "http.request.finished", "message": "HTTP request finished", "metadata": {"method": "GET", "path": "/api/v1/tasks/", "status_code": 200, "duration_ms": 15.21}}
api-1  | {"timestamp": "2026-04-03T20:14:33.369469+00:00", "level": "info", "service": "api", "logger": "app.api.middleware", "tenant_id": "2", "user_id": "1", "request_id": "7949b6ae", "trace_id": "e69ce8700a323572bf145b09caaf4b22", "span_id": "96edea7b751ee7ac", "action": "http.request.started", "message": "HTTP request started", "metadata": {"method": "PATCH", "path": "/api/v1/tasks/10/status"}}
api-1  | {"timestamp": "2026-04-03T20:14:33.408159+00:00", "level": "info", "service": "api", "logger": "app.api.middleware", "tenant_id": "2", "user_id": "1", "request_id": "7949b6ae", "trace_id": "e69ce8700a323572bf145b09caaf4b22", "span_id": "96edea7b751ee7ac", "action": "http.request.finished", "message": "HTTP request finished", "metadata": {"method": "PATCH", "path": "/api/v1/tasks/10/status", "status_code": 200, "duration_ms": 38.72}}
api-1  | {"timestamp": "2026-04-03T20:14:33.431041+00:00", "level": "info", "service": "api", "logger": "app.api.middleware", "tenant_id": "2", "user_id": "1", "request_id": "1c4a8f8d", "trace_id": "7325b3345a0ee5f811c544a710ea0ae3", "span_id": "da14b8c86c371738", "action": "http.request.started", "message": "HTTP request started", "metadata": {"method": "GET", "path": "/api/v1/tasks/"}}
api-1  | {"timestamp": "2026-04-03T20:14:33.445207+00:00", "level": "info", "service": "api", "logger": "app.api.middleware", "tenant_id": "2", "user_id": "1", "request_id": "1c4a8f8d", "trace_id": "7325b3345a0ee5f811c544a710ea0ae3", "span_id": "da14b8c86c371738", "action": "http.request.finished", "message": "HTTP request finished", "metadata": {"method": "GET", "path": "/api/v1/tasks/", "status_code": 200, "duration_ms": 13.95}}
api-1  | {"timestamp": "2026-04-03T20:14:36.082199+00:00", "level": "info", "service": "api", "logger": "app.api.middleware", "tenant_id": "2", "user_id": "1", "request_id": "cfbd6385", "trace_id": "5ec05463095bd913e951b84f9737148b", "span_id": "5f22f7b0fd13d166", "action": "http.request.started", "message": "HTTP request started", "metadata": {"method": "PATCH", "path": "/api/v1/tasks/11/status"}}
api-1  | {"timestamp": "2026-04-03T20:14:36.153137+00:00", "level": "info", "service": "api", "logger": "app.api.middleware", "tenant_id": "2", "user_id": "1", "request_id": "cfbd6385", "trace_id": "5ec05463095bd913e951b84f9737148b", "span_id": "5f22f7b0fd13d166", "action": "http.request.finished", "message": "HTTP request finished", "metadata": {"method": "PATCH", "path": "/api/v1/tasks/11/status", "status_code": 200, "duration_ms": 70.82}}
api-1  | {"timestamp": "2026-04-03T20:14:36.192214+00:00", "level": "info", "service": "api", "logger": "app.api.middleware", "tenant_id": "2", "user_id": "1", "request_id": "c6fc950b", "trace_id": "5ed245c0ea2ca52159c636bf94d7fdf4", "span_id": "130fdaf968969f67", "action": "http.request.started", "message": "HTTP request started", "metadata": {"method": "GET", "path": "/api/v1/tasks/"}}
